Thousands of Words ;Length;Rank Oxford 100;;Rank;;;Fry's List of 1000 Most Common Words
let;3;;;;;;side
lid;3;;;;;;feet
lie;3;;;;;;car
lip;3;;;;;;mile
lit;3;;;;;;night
lob;3;;;;;;walk
log;3;;;;;;white
lop;3;;;;;;sea
lot;3;;;;;;began
low;3;;;;;;grow
lug;3;;;;;;took
mad;3;;;;;;river
man;3;;;;;;four
map;3;;;;;;carry
mat;3;;;;;;state
max;3;;;;;;once
may;3;;;;;;book
men;3;;;;;;hear
met;3;;;;;;stop
mew;3;;;;;;without
mid;3;;;;;;second
mil;3;;;;;;late
mix;3;;;;;;miss
mob;3;;;;;;idea
mom;3;;;;;;enough
moo;3;;;;;;eat
mop;3;;;;;;face
mot;3;;;;;;watch
mow;3;;;;;;far
mud;3;;;;;;Indian
mug;3;;;;;;real
mum;3;;;;;;almost
nab;3;;;;;;let
nag;3;;;;;;above
nap;3;;;;;;girl
nay;3;;;;;;sometimes
net;3;;;;;;mountain
new;3;;;;;;cut
nib;3;;;;;;young
nil;3;;;;;;talk
nip;3;;;;;;soon
nit;3;;;;;;list
nix;3;;;;;;song
nod;3;;;;;;leave
nor;3;;;;;;family
not;3;13;;;;;body
now;3;;;;;;music
nub;3;;;;;;color
nun;3;;;;;;being
nut;3;;;;;;it’s
oaf;3;;;;;;your
oak;3;;;;;;stand
oar;3;;;;;;sun
oat;3;;;;;;questions
odd;3;;;;;;fish
ode;3;;;;;;area
off;3;;;;;;mark
oft;3;;;;;;dog
ohm;3;;;;;;horse
oil;3;;;;;;birds
old;3;;;;;;problem
ole;3;;;;;;complete
one;3;;;;;;room
ope;3;;;;;;knew
opt;3;;;;;;since
orb;3;;;;;;ever
ore;3;;;;;;piece
our;3;;;;;;told
out;3;;;;;;usually
owe;3;;;;;;didn’t
owl;3;;;;;;friend
own;3;;;;;;easy
pad;3;;;;;;heard
pal;3;;;;;;order
pan;3;;;;;;red
par;3;;;;;;door
pat;3;;;;;;sure
pay;3;;;;;;become
pea;3;;;;;;top
pee;3;;;;;;ship
peg;3;;;;;;across
pen;3;;;;;;today
pep;3;;;;;;during
per;3;;;;;;short
pet;3;;;;;;better
pew;3;;;;;;best
pie;3;;;;;;however
pig;3;;;;;;low
pin;3;;;;;;hours
pit;3;;;;;;black
ply;3;;;;;;products
pod;3;;;;;;happened
pop;3;;;;;;whole
pot;3;;;;;;measure
pox;3;;;;;;remember
pro;3;;;;;;early
pry;3;;;;;;waves
pub;3;;;;;;reached
pug;3;;;;;;listen
pun;3;;;;;;wind
pup;3;;;;;;rock
pus;3;;;;;;space
put;3;;;;;;covered
rag;3;;;;;;fast
ran;3;;;;;;several
rap;3;;;;;;hold
rat;3;;;;;;himself
raw;3;;;;;;toward
ray;3;;;;;;five
rec;3;;;;;;step
red;3;;;;;;morning
rib;3;;;;;;passed
rid;3;;;;;;vowel
rig;3;;;;;;TRUE
rim;3;;;;;;hundred
rip;3;;;;;;against
rob;3;;;;;;pattern’
rod;3;;;;;;numeral
rot;3;;;;;;table
row;3;;;;;;north
rub;3;;;;;;slowly
rue;3;;;;;;money
rug;3;;;;;;map
rum;3;;;;;;farm
run;3;;;;;;pulled
rut;3;;;;;;draw
rye;3;;;;;;voice
sad;3;;;;;;seen
sag;3;;;;;;cold
sap;3;;;;;;cried
sat;3;;;;;;plan
saw;3;;;;;;notice
sax;3;;;;;;south
say;3;28;;;;;sing
sea;3;;;;;;war
see;3;;;;;;ground
set;3;;;;;;fall
sew;3;;;;;;king
sex;3;;;;;;town
she;3;30;;;;;I’ll
shy;3;;;;;;unit
sip;3;;;;;;figure
sir;3;;;;;;certain
sit;3;;;;;;field
six;3;;;;;;travel
ski;3;;;;;;wood
sky;3;;;;;;fire
sly;3;;;;;;upon
sob;3;;;;;;done
sod;3;;;;;;English
son;3;;;;;;road
sop;3;;;;;;half
sow;3;;;;;;ten
soy;3;;;;;;fly
spa;3;;;;;;gave
spy;3;;;;;;box
sty;3;;;;;;finally
sub;3;;;;;;wait
sue;3;;;;;;correct
sum;3;;;;;;oh
sun;3;;;;;;quickly
tab;3;;;;;;person
tad;3;;;;;;became
tag;3;;;;;;shown
tan;3;;;;;;minutes
tap;3;;;;;;strong
tar;3;;;;;;verb
tax;3;;;;;;stars
tea;3;;;;;;front
tee;3;;;;;;feel
ten;3;;;;;;fact
the;3;1;;;;;inches
thy;3;;;;;;street
tic;3;;;;;;decided
tie;3;;;;;;contain
tin;3;;;;;;course
tip;3;;;;;;surface
toe;3;;;;;;produce
tog;3;;;;;;building
Tom;3;;;;;;ocean
ton;3;;;;;;class
too;3;;;;;;note
top;3;;;;;;nothing
tot;3;;;;;;rest
tow;3;;;;;;carefully
toy;3;;;;;;scientists
try;3;;;;;;inside
tub;3;;;;;;wheels
tug;3;;;;;;stay
tun;3;;;;;;green
tut;3;;;;;;known
tux;3;;;;;;island
two;3;;;;;;week
ugh;3;;;;;;less
use;3;;;;;;machine
van;3;;;;;;base
